"","ref.A.inColumnsAlsoPresentIn.A","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.Zsummary.pres","ref.A.inColumnsAlsoPresentIn.B.Zdensity.pres","ref.A.inColumnsAlsoPresentIn.B.Zconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.Z.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kME","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.Z.cor.cor","ref.A.inColumnsAlsoPresentIn.B.Z.cor.MAR"
"gold",NA,100,10.8637738278534,6.61838757892806,15.1091600767786,0.361247126169912,9.18989819819014,53.0174972285748,4.04687695966597,3.53964364562633,12.8627363524117,15.1091600767786,205.697528990406,65.3547759684035,13.024930810063
"HuAgeGBsplit_00",NA,18,13.5861255973784,21.6097738956841,5.56247729907281,24.6362242496728,5.50551087407934,18.5833235416954,2425.17816884134,1542.51184945614,4.08962684670045,5.56247729907281,216.89624541456,13.6104159904847,3.90474684762175
"HuAgeGBsplit_01",NA,3000,76.822436721407,55.921538523742,97.723334919072,44.1476800477489,67.695396999735,1830.82557530441,28.906040697256,4.85632576162691,41.4932437902304,97.723334919072,327.907931638637,1909.69708285264,54.277689037564
"HuAgeGBsplit_02",NA,3000,83.5244948807964,73.5984075325635,93.4505822290293,61.8496304763941,85.3471845887328,1349.29800156481,56.4463237129985,4.73151756777976,60.1906791533601,93.4505822290293,268.575888453522,1924.5998094888,57.3105729189373
"HuAgeGBsplit_03",NA,1234,194.092047046662,333.950044941841,54.2340491514823,287.30387755429,127.736343969888,1504.86835717718,380.596212329392,5.19155142180998,40.6289533780402,54.2340491514823,268.842193352019,1020.46392671835,46.5654208972785
"HuAgeGBsplit_04",NA,938,181.222988668394,307.650494367206,54.7954829695826,226.445992556681,95.705560106129,1125.35182971416,388.854996177732,8.42679450682009,31.1679854237712,54.7954829695826,210.593690118424,583.209322532468,34.3569636247778
"HuAgeGBsplit_05",NA,809,338.759644322239,637.95771873841,39.5615699060675,243.742113335182,110.209287321253,1271.6523981959,1032.17332414164,28.9076934700324,32.1667444037466,39.5615699060675,223.601516731186,537.193903271132,31.7177943767102
"HuAgeGBsplit_06",NA,727,110.313218009229,169.179554006043,51.4468820124143,192.296764780806,88.0537682921918,645.50139428689,146.062343231279,13.9718895432984,29.4411202050153,51.4468820124143,222.229123361372,453.149351776229,33.4714134570046
"HuAgeGBsplit_07",NA,724,121.225779113501,203.954967570244,38.4965906567572,163.028397873471,77.3410406109899,646.380784548529,244.881537267017,20.8910885485513,21.0091304757509,38.4965906567572,227.893885198034,420.436897294692,42.4649334833258
"HuAgeGBsplit_08",NA,673,152.599669619944,263.876394225019,41.322945014869,229.907791806869,84.4395385490968,707.58210260804,297.844996643168,13.5100881329908,19.118064795876,41.322945014869,224.389529894217,412.861916580386,27.5665817836036
"HuAgeGBsplit_09",NA,643,141.853078967299,240.616554374595,43.0896035600028,210.007276610757,101.855114559105,664.232801477198,271.225832138433,10.7159132542423,26.4069781323321,43.0896035600028,269.827375670705,508.331812635571,23.481830431882
