"","Module","Gene"
"A2MP1","c1_HuAgeGBsplitRnaseq_10","A2MP1"
"AAK1","c1_HuAgeGBsplitRnaseq_10","AAK1"
"ABCC6","c1_HuAgeGBsplitRnaseq_10","ABCC6"
"ABCC6P1","c1_HuAgeGBsplitRnaseq_10","ABCC6P1"
"ABCC6P2","c1_HuAgeGBsplitRnaseq_10","ABCC6P2"
"AC002064.1","c1_HuAgeGBsplitRnaseq_10","AC002064.1"
"AC003035.1","c1_HuAgeGBsplitRnaseq_10","AC003035.1"
"AC003101.2","c1_HuAgeGBsplitRnaseq_10","AC003101.2"
"AC004080.1","c1_HuAgeGBsplitRnaseq_10","AC004080.1"
"AC004080.2","c1_HuAgeGBsplitRnaseq_10","AC004080.2"
"AC004080.4","c1_HuAgeGBsplitRnaseq_10","AC004080.4"
"AC004817.2","c1_HuAgeGBsplitRnaseq_10","AC004817.2"
"AC004817.3","c1_HuAgeGBsplitRnaseq_10","AC004817.3"
"AC004836.1","c1_HuAgeGBsplitRnaseq_10","AC004836.1"
"AC004840.1","c1_HuAgeGBsplitRnaseq_10","AC004840.1"
"AC005041.1","c1_HuAgeGBsplitRnaseq_10","AC005041.1"
"AC005052.1","c1_HuAgeGBsplitRnaseq_10","AC005052.1"
"AC005083.1","c1_HuAgeGBsplitRnaseq_10","AC005083.1"
"AC005281.1","c1_HuAgeGBsplitRnaseq_10","AC005281.1"
"AC005297.3","c1_HuAgeGBsplitRnaseq_10","AC005297.3"
"AC005410.1","c1_HuAgeGBsplitRnaseq_10","AC005410.1"
"AC005487.1","c1_HuAgeGBsplitRnaseq_10","AC005487.1"
"AC005722.2","c1_HuAgeGBsplitRnaseq_10","AC005722.2"
"AC005863.1","c1_HuAgeGBsplitRnaseq_10","AC005863.1"
"AC006273.1","c1_HuAgeGBsplitRnaseq_10","AC006273.1"
"AC006372.2","c1_HuAgeGBsplitRnaseq_10","AC006372.2"
"AC006372.3","c1_HuAgeGBsplitRnaseq_10","AC006372.3"
"AC006372.4","c1_HuAgeGBsplitRnaseq_10","AC006372.4"
"AC006499.2","c1_HuAgeGBsplitRnaseq_10","AC006499.2"
"AC006548.1","c1_HuAgeGBsplitRnaseq_10","AC006548.1"
"AC007029.1","c1_HuAgeGBsplitRnaseq_10","AC007029.1"
"AC007040.1","c1_HuAgeGBsplitRnaseq_10","AC007040.1"
"AC007388.1","c1_HuAgeGBsplitRnaseq_10","AC007388.1"
"AC007435.1","c1_HuAgeGBsplitRnaseq_10","AC007435.1"
"AC007688.1","c1_HuAgeGBsplitRnaseq_10","AC007688.1"
"AC007906.2","c1_HuAgeGBsplitRnaseq_10","AC007906.2"
"AC007923.4","c1_HuAgeGBsplitRnaseq_10","AC007923.4"
